"Material","ShaderGuid","ShaderFileID","ShaderType","ShaderName","ShaderFile","ShaderCategory","DummyExporter"
"Assets\Material\MAT_Crate_Purple.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Crate_Red.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Crate_Yellow.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Dock_Highlighted.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\Mat_Fruit_Apple_green.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\Mat_Fruit_Banana.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\Mat_Fruit_Blueberry.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\Mat_Fruit_Carrot.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\Mat_Fruit_Eggplant.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\Mat_Fruit_Peach_pink.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\Mat_Fruit_Pear_pink.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Fruit_Strawberry_red.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Gate.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Gate_Ball.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Ground_Bridge_Switchable_Down.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Ground_stop.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Roof.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_SwBridge_Floor.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Switch_Tube_Bridge.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\MAT_Tunnel_Hole.mat","2d6045059fa231945aa14281158167e1","4800000","3","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True"
"Assets\Material\circlestretchy_AB.mat","59d5fc7ad208af443a0a5b0a9e609590","4800000","3","Universal Render Pipeline/Particles/Unlit","Assets\Shader\Universal Render Pipeline_Particles_Unlit.shader","Unity URP package shader","True"
"Assets\Material\cloud_2x2_soft_AB.mat","59d5fc7ad208af443a0a5b0a9e609590","4800000","3","Universal Render Pipeline/Particles/Unlit","Assets\Shader\Universal Render Pipeline_Particles_Unlit.shader","Unity URP package shader","True"
"Assets\Material\confetti_AB.mat","59d5fc7ad208af443a0a5b0a9e609590","4800000","3","Universal Render Pipeline/Particles/Unlit","Assets\Shader\Universal Render Pipeline_Particles_Unlit.shader","Unity URP package shader","True"
"Assets\Material\leaf_3x3_AB.mat","59d5fc7ad208af443a0a5b0a9e609590","4800000","3","Universal Render Pipeline/Particles/Unlit","Assets\Shader\Universal Render Pipeline_Particles_Unlit.shader","Unity URP package shader","True"
"Assets\Material\ParticlesUnlit.mat","59d5fc7ad208af443a0a5b0a9e609590","4800000","3","Universal Render Pipeline/Particles/Unlit","Assets\Shader\Universal Render Pipeline_Particles_Unlit.shader","Unity URP package shader","True"
"Assets\Material\sparkle_ADD.mat","59d5fc7ad208af443a0a5b0a9e609590","4800000","3","Universal Render Pipeline/Particles/Unlit","Assets\Shader\Universal Render Pipeline_Particles_Unlit.shader","Unity URP package shader","True"
"Assets\Material\sparkle2_ADD.mat","59d5fc7ad208af443a0a5b0a9e609590","4800000","3","Universal Render Pipeline/Particles/Unlit","Assets\Shader\Universal Render Pipeline_Particles_Unlit.shader","Unity URP package shader","True"
"Assets\Material\MAT_DeliveryPoint.mat","39e31a78d4bee624aa1398faf18d579b","4800000","3","Universal Render Pipeline/Unlit","Assets\Shader\Universal Render Pipeline_Unlit.shader","Unity URP package shader","True"
"Assets\Material\MAT_SecretCollectible.mat","39e31a78d4bee624aa1398faf18d579b","4800000","3","Universal Render Pipeline/Unlit","Assets\Shader\Universal Render Pipeline_Unlit.shader","Unity URP package shader","True"
"Assets\Material\MAT_SwitchingArrow.mat","39e31a78d4bee624aa1398faf18d579b","4800000","3","Universal Render Pipeline/Unlit","Assets\Shader\Universal Render Pipeline_Unlit.shader","Unity URP package shader","True"
"Assets\Material\UIAdditive.mat","2f7155eab10066f408851ef296eba5ff","4800000","3","AssetKits/Additive","Assets\Shader\AssetKits_Additive.shader","Unknown/custom shader","True"
